"species","sea","status","group","Family","mean_MaxN","max_MaxN","n_presence","depth_range","min_depth","sbt_range","sbt_min","sbt_max","corals","artificial","gravel","macroalgae","rocks","seagrass","silt","sand","soft_corals","population","B_prime_std"
"Diplodus vulgaris","med","0","Natives - Med. Sea","Sparidae",0.193548387096774,15,3,28.6,11.4,6,18,24,0,0,0,0.62,1,0,0,0.25,0,"Diplodus vulgaris_med",0.171
"Echeneis naucrates","med","0","Lessepsians - Med. Sea","Echeneidae",0.0645161290322581,2,6,26.3,5.6,13,17,30,0,0,0.12,0.38,0.62,0,0,0.75,0,"Echeneis naucrates_med",0.526
"Echeneis naucrates","red","0","Lessepsians - Red Sea","Echeneidae",0.016260162601626,1,2,33.5,37.5,7,21,28,0.5,0,0,0.5,0,0,0,0.5,0,"Echeneis naucrates_red",0.265
"Epinephelus areolatus","red","1","Lessepsians - Red Sea","Serranidae",0.16260162601626,4,12,124.4,19.6,9,20,29,0.5,0.35,0,0,0.2,0.1,0.15,0.7,0,"Epinephelus areolatus_red",0.976
"Epinephelus costae","med","0","Natives - Med. Sea","Serranidae",0.137096774193548,3,12,31.4,8.6,11,17,28,0,0,0.12,0.76,1,0,0,0.53,0,"Epinephelus costae_med",0.136
"Epinephelus fasciatus","red","1","Lessepsians - Red Sea","Serranidae",0.422764227642276,10,19,111.8,8.1,6,20,26,0.85,0.23,0.04,0,0.19,0.08,0,0.62,0,"Epinephelus fasciatus_red",0.519
"Epinephelus marginatus","med","0","Natives - Med. Sea","Serranidae",0.0564516129032258,2,5,20.8,10.1,5,23,28,0,0,0,0.57,1,0,0,0.43,0,"Epinephelus marginatus_med",0.201
"Fistularia commersonii","med","1","Lessepsians - Med. Sea","Fistulariidae",0.032258064516129,1,4,19.6,15.6,8,18,26,0,0,0.5,0.75,0.5,0,0,0.5,0,"Fistularia commersonii_med",0.791
"Fistularia commersonii","red","1","Lessepsians - Red Sea","Fistulariidae",0.154471544715447,2,15,83.9,10.5,7,21,28,0.32,0.05,0,0.16,0,0.37,0,0.74,0,"Fistularia commersonii_red",0.804
"Genicanthus caudovittatus","red","0","Natives - Red Sea","Pomacanthidae",0.373983739837398,8,14,93.1,26.8,7,21,28,1,0,0,0,0,0,0,0.43,0,"Genicanthus caudovittatus_red",0.206
"Gnathanodon speciosus","red","0","Natives - Red Sea","Carangidae",0.113821138211382,7,4,50.3,22.1,6,21,27,0,0,0,0,0,0.64,0,1,0,"Gnathanodon speciosus_red",0.391
"Gobius bucchichi","med","0","Natives - Med. Sea","Gobiidae",0.0806451612903226,4,5,12.2,10.4,13,17,30,0,0,0,0.2,1,0,0,0.5,0,"Gobius bucchichi_med",0.19
"Gymnocranius grandoculis","red","0","Natives - Red Sea","Lethrinidae",0.24390243902439,2,27,117,20,7,21,28,0.27,0.1,0,0.13,0.2,0.1,0.07,0.9,0.03,"Gymnocranius grandoculis_red",0.869
"Gymnothorax angusticauda","red","0","Natives - Red Sea","Muraenidae",0.268292682926829,5,18,57.2,15.2,8,21,29,0,0,0,0.06,0,0.76,0,0.88,0,"Gymnothorax angusticauda_red",0.391
"Gymnothorax elegans","red","0","Natives - Red Sea","Muraenidae",0.0894308943089431,1,11,67.8,70,5,20,25,0.73,0,0,0,0.18,0,0.45,0.45,0,"Gymnothorax elegans_red",0.572
"Gymnothorax griseus","red","0","Natives - Red Sea","Muraenidae",0.235772357723577,5,17,56.1,10.3,7,21,28,0.17,0.03,0,0,0,0.66,0,0.83,0,"Gymnothorax griseus_red",0.593
"Gymnothorax johnsoni","red","0","Natives - Red Sea","Muraenidae",0.105691056910569,2,12,116.2,24.8,8,20,28,0.69,0,0,0,0.15,0.08,0.31,0.38,0,"Gymnothorax johnsoni_red",0.755
"Gymnothorax nudivomer","red","0","Natives - Red Sea","Muraenidae",0.146341463414634,2,17,107.9,10.3,8,20,28,0.94,0.11,0.06,0.06,0,0.11,0.11,0.44,0,"Gymnothorax nudivomer_red",0.468
"Gymnothorax undulatus","red","0","Natives - Red Sea","Muraenidae",0.024390243902439,1,3,11.4,21.4,1,24,25,1,0,0,0,0,0,0,0.33,0,"Gymnothorax undulatus_red",0.133
"Heniochus diphreutes","red","0","Natives - Red Sea","Chaetodontidae",0.0813008130081301,5,3,60.2,16.4,3,21,24,0.5,0,0,0,0.2,0,0,1,0,"Heniochus diphreutes_red",0.733
"Heniochus intermedius","red","1","Lessepsians - Red Sea","Chaetodontidae",0.0731707317073171,2,5,40.6,10,3,21,24,0.89,0,0.11,0,0,0,0,0.44,0,"Heniochus intermedius_red",0.358
"Himantura uarnak","med","1","Lessepsians - Med. Sea","Dasyatidae",0.0161290322580645,1,2,13.3,10.1,11,17,28,0,0,0,0.5,1,0,0,0.5,0,"Himantura uarnak_med",0.19
"Himantura uarnak","red","1","Lessepsians - Red Sea","Dasyatidae",0.0569105691056911,2,6,43.9,10.7,6,21,27,0.57,0,0,0,0,0.43,0,0.86,0,"Himantura uarnak_red",0.857
"Hipposcarus harid","red","0","Natives - Red Sea","Scaridae",0.0569105691056911,3,5,38.1,10.3,4,22,26,1,0.14,0.14,0,0,0.29,0,0.71,0,"Hipposcarus harid_red",0.481
"Labroides dimidiatus","red","0","Natives - Red Sea","Labridae",0.0975609756097561,2,9,49.6,10.5,4,22,26,0.58,0,0,0,0.17,0.33,0,0.75,0,"Labroides dimidiatus_red",0.743
"Lagocephalus guentheri","med","1","Lessepsians - Med. Sea","Tetraodontidae",0.193548387096774,5,8,56.5,29.6,8,17,25,0,0,0.12,0,0,0,0.08,0.79,0,"Lagocephalus guentheri_med",0.661
"Lagocephalus sceleratus","med","1","Lessepsians - Med. Sea","Tetraodontidae",1.60483870967742,14,55,104.9,8.6,14,16,30,0,0,0.07,0.22,0.29,0.02,0.12,0.7,0.03,"Lagocephalus sceleratus_med",0.993
"Lagocephalus sceleratus","red","1","Lessepsians - Red Sea","Tetraodontidae",0.617886178861789,13,21,72,15.2,3,21,24,0.05,0,0,0.2,0.05,0.28,0,0.78,0,"Lagocephalus sceleratus_red",0.447
"Lagocephalus suezensis","med","1","Lessepsians - Med. Sea","Tetraodontidae",0.790322580645161,23,13,63.4,27,12,16,28,0,0,0.2,0.02,0.08,0.04,0.09,0.74,0,"Lagocephalus suezensis_med",0.767
"Lagocephalus suezensis","red","1","Lessepsians - Red Sea","Tetraodontidae",0.0569105691056911,5,3,33.6,16.4,3,21,24,0,0,0,0,0,0.14,0,1,0,"Lagocephalus suezensis_red",0.391
"Larabicus quadrilineatus","red","0","Natives - Red Sea","Labridae",0.016260162601626,1,2,4.7,32.8,4,24,28,1,0,0,0,0,0,0,0,0,"Larabicus quadrilineatus_red",0
"Lethrinus borbonicus","red","0","Natives - Red Sea","Lethrinidae",0.463414634146341,18,19,127.9,8.1,7,21,28,0.65,0.14,0.02,0.19,0.09,0.05,0,0.86,0,"Lethrinus borbonicus_red",0.897
"Lethrinus mahsena","red","0","Natives - Red Sea","Lethrinidae",0.170731707317073,3,16,97.9,8.1,5,21,26,0.95,0.1,0.1,0,0.05,0.14,0.14,0.48,0,"Lethrinus mahsena_red",0.538
"Lethrinus nebulosus","red","0","Natives - Red Sea","Lethrinidae",0.398373983739837,4,33,74.2,10,8,21,29,0.43,0,0.02,0.08,0.02,0.31,0,0.82,0.02,"Lethrinus nebulosus_red",0.945
