"PCoA1","PCoA2","species","group","plot_label","sea","status"
-0.103343306158977,0.0215411830974013,"Hipposcarus harid","Natives - Red Sea","Hipposcarus harid (RS)","red",0
-0.0498016663390731,0.0639686078242035,"Labroides dimidiatus","Natives - Red Sea","Labroides dimidiatus (RS)","red",0
0.059609646044216,0.0646779831963609,"Lagocephalus guentheri","Lessepsians - Med. Sea","Lagocephalus guentheri (Med)","med",1
0.203991652070442,0.189509376334774,"Lagocephalus sceleratus","Lessepsians - Med. Sea","Lagocephalus sceleratus (Med)","med",1
0.0101915280075145,0.0700354649580537,"Lagocephalus sceleratus","Lessepsians - Red Sea","Lagocephalus sceleratus (RS)","red",1
0.110171360683657,0.107055824615576,"Lagocephalus suezensis","Lessepsians - Med. Sea","Lagocephalus suezensis (Med)","med",1
-0.00975594111915141,0.0120178600949703,"Lagocephalus suezensis","Lessepsians - Red Sea","Lagocephalus suezensis (RS)","red",1
-0.111423031317301,-0.110939841404202,"Larabicus quadrilineatus","Natives - Red Sea","Larabicus quadrilineatus (RS)","red",0
-0.0148120092094303,0.156389651136842,"Lethrinus borbonicus","Natives - Red Sea","Lethrinus borbonicus (RS)","red",0
-0.0816952964261636,0.0682618687436056,"Lethrinus mahsena","Natives - Red Sea","Lethrinus mahsena (RS)","red",0
0.00177333717610698,0.154346858921211,"Lethrinus nebulosus","Natives - Red Sea","Lethrinus nebulosus (RS)","red",0
0.0283551802094033,0.0543112513306375,"Lethrinus variegatus","Natives - Red Sea","Lethrinus variegatus (RS)","red",0
-0.0167938952020421,-0.0140666559558146,"Lethrinus xanthochilus","Natives - Red Sea","Lethrinus xanthochilus (RS)","red",0
-0.126706845370132,0.0613324898279109,"Meiacanthus nigrolineatus","Natives - Red Sea","Meiacanthus nigrolineatus (RS)","red",0
0.136484191480191,-0.101875052249156,"Muraena helena","Natives - Med. Sea","Muraena helena (Med)","med",0
0.212993060777159,-0.129365411779501,"Mycteroperca rubra","Natives - Med. Sea","Mycteroperca rubra (Med)","med",0
-0.0579828172206607,-0.150846777725544,"Myrichthys maculosus","Natives - Red Sea","Myrichthys maculosus (RS)","red",0
-0.0300216681588891,0.0105731134672517,"Naso unicornis","Natives - Red Sea","Naso unicornis (RS)","red",0
0.0961997184197116,0.133070947982167,"Nemipterus randalli","Lessepsians - Med. Sea","Nemipterus randalli (Med)","med",1
0.0940024521361191,0.135545700561516,"Nemipterus zysron","Natives - Red Sea","Nemipterus zysron (RS)","red",0
-0.0747786981119515,0.0243908161056734,"Odonus niger","Natives - Red Sea","Odonus niger (RS)","red",0
-0.0387293213089831,0.0302573347651501,"Ostracion cubicum","Lessepsians - Red Sea","Ostracion cubicum (RS)","red",1
-0.0705712998034111,0.0734915515651018,"Ostracion cyanurus","Natives - Red Sea","Ostracion cyanurus (RS)","red",0
-0.12105224578893,-0.0185802591335345,"Oxycheilinus digramma","Natives - Red Sea","Oxycheilinus digramma (RS)","red",0
-0.0354506845483352,0.121664305728763,"Oxycheilinus mentalis","Natives - Red Sea","Oxycheilinus mentalis (RS)","red",0
0.106661633218043,0.0649943727582715,"Pagellus acarne","Natives - Med. Sea","Pagellus acarne (Med)","med",0
0.140271476941445,0.114469045371273,"Pagellus erythrinus","Natives - Med. Sea","Pagellus erythrinus (Med)","med",0
0.202251679570644,-0.027692735625181,"Pagrus caeruleostictus","Natives - Med. Sea","Pagrus caeruleostictus (Med)","med",0
0.101668654396478,-0.123994636501266,"Parablennius zvonimiri","Natives - Med. Sea","Parablennius zvonimiri (Med)","med",0
-0.099563128562009,-0.122637870681774,"Paracaesio sordida","Natives - Red Sea","Paracaesio sordida (RS)","red",0
-0.0928869122488629,-0.0216978460128552,"Paracheilinus octotaenia","Natives - Red Sea","Paracheilinus octotaenia (RS)","red",0
-0.0613648418470531,0.0295857463941999,"Parapercis somaliensis","Natives - Red Sea","Parapercis somaliensis (RS)","red",0
-0.0692181166653149,0.0146689075319308,"Parupeneus cyclostomus","Natives - Red Sea","Parupeneus cyclostomus (RS)","red",0
0.189730019626687,-0.0245237200833186,"Parupeneus forsskali","Lessepsians - Med. Sea","Parupeneus forsskali (Med)","med",1
0.0343348614464611,0.189945446146032,"Parupeneus forsskali","Lessepsians - Red Sea","Parupeneus forsskali (RS)","red",1
0.0484654433904617,0.184634135334442,"Parupeneus heptacanthus","Natives - Red Sea","Parupeneus heptacanthus (RS)","red",0
-0.034603061260857,0.0999868157342424,"Parupeneus macronemus","Natives - Red Sea","Parupeneus macronemus (RS)","red",0
-0.0303695294539974,0.120069800128784,"Parupeneus rubescens","Natives - Red Sea","Parupeneus rubescens (RS)","red",0
-0.124263435520406,-0.0929753811319931,"Pervagor randalli","Natives - Red Sea","Pervagor randalli (RS)","red",0
-0.111635881874985,-0.0714870710851227,"Platax orbicularis","Natives - Red Sea","Platax orbicularis (RS)","red",0
-0.0871580696180847,0.0534807861703524,"Plectropomus pessuliferus","Natives - Red Sea","Plectropomus pessuliferus (RS)","red",0
-0.0104444475619053,0.0619989700893741,"Pomacanthus imperator","Lessepsians - Red Sea","Pomacanthus imperator (RS)","red",1
