"(Intercept)","scale(artificial)","scale(B_prime_std)","scale(corals)","scale(depth_range)","scale(gravel)","scale(macroalgae)","scale(mean_MaxN)","scale(min_depth)","scale(n_presence)","scale(rocks)","scale(sand)","scale(sbt_max)","scale(sbt_min)","scale(sbt_range)","scale(seagrass)","scale(silt)","df","logLik","AICc","delta","weight"
-2.87386284361072,NA,0.245571711412858,-1.39581892477971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318709650827591,NA,NA,5,-40.186893440416,90.8737868808319,2.68276900319538,0.000702669092086106
-2.80808422870974,NA,0.209256345524623,-1.19648095831201,0.509973172217207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.798651382878803,6,-39.1022696458906,90.9104216447223,2.71940376708582,0.000689915199509797
-2.74631013998462,NA,NA,-1.1692844336634,0.525879159999394,NA,0.144258498110782,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.704688155679912,6,-39.1052199338544,90.91632222065,2.72530434301345,0.000687882750629602
-2.77564696871408,NA,NA,-1.16658062371382,0.632042569219371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161920556414036,-0.700164291832635,6,-39.1187182524019,90.9433188577451,2.75230098010853,0.000678659876819631
-2.7291680555706,NA,NA,-1.17594879104365,NA,NA,0.349634356021369,NA,NA,NA,NA,NA,NA,NA,NA,0.225286837803797,NA,5,-40.2279193761647,90.9558387523294,2.76482087469286,0.00067442477135997
-2.9535331755173,NA,0.338870417083742,-1.2625612278665,NA,NA,0.321159109692265,0.408102077158664,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-39.1255352392875,90.9569528315161,2.76593495387958,0.000674049194674833
-2.85509424379575,NA,0.289339406140491,-1.39566730597288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-40.2305976071798,90.9611952143596,2.77017733672311,0.000672620922659951
-2.97224533952163,NA,0.339497718241768,-1.20574722424776,NA,NA,0.406502750674565,0.301084785027725,-0.900657176680559,NA,NA,NA,NA,NA,NA,NA,NA,7,-38.0092495657379,90.9676516738486,2.77663379621211,0.000670453048870673
-2.76035059578999,NA,NA,-1.33648899970543,NA,NA,0.228527304285581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-40.2437565830868,90.9875131661736,2.79649528853703,0.000663827900608762
-2.87795367599673,NA,NA,-1.49174649283082,NA,NA,NA,NA,NA,0.180947006200633,NA,NA,NA,NA,0.239626731319773,NA,NA,5,-40.2532431089149,91.0064862178298,2.81546834019331,0.000657560256173824
-2.98101433992289,NA,0.392122234854159,-1.37832181715454,NA,NA,NA,0.423824323534645,NA,NA,NA,NA,NA,NA,NA,NA,-0.552940265588387,6,-39.1511642208852,91.0082107947115,2.81719291707496,0.000656993493957149
-2.79945560624611,NA,NA,-1.28229193281465,0.609270356241693,0.169116348207889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.741441604521099,6,-39.1566675192404,91.019217391422,2.82819951378545,0.000653387793465512
-3.00904005412862,NA,NA,-1.60024390941826,NA,NA,NA,0.303121104353343,-0.67008661179099,0.130654170321542,NA,NA,NA,NA,NA,NA,NA,6,-39.1606740862249,91.027230525391,2.83621264775448,0.000650775188786872
-2.84908184941427,NA,0.117947244032338,-1.38278378943241,0.351737560568772,NA,NA,NA,-0.737865235460284,NA,NA,NA,NA,NA,NA,NA,NA,6,-39.1612676567031,91.0284176663474,2.83739978871088,0.000650389022466664
-2.84751522787801,NA,NA,-1.42409615003432,0.330615923357632,NA,NA,NA,-0.730925933726883,0.0945499678332439,NA,NA,NA,NA,NA,NA,NA,6,-39.1620489864878,91.0299803259168,2.83896244828024,0.000649881052623608
-2.89595564579559,NA,NA,-1.52282583904265,NA,0.239656754144944,NA,NA,NA,NA,NA,NA,NA,NA,0.399933962967235,NA,NA,5,-40.2680667306971,91.0361334613943,2.84511558375773,0.000647884722040868
-2.7601297172226,-0.170340886991288,NA,-1.20057519744128,0.608620193357106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.767964798531113,6,-39.1656189764172,91.0371203057757,2.84610242813915,0.000647565120197797
-2.99820929836384,-0.170660609009819,NA,-1.57714999748005,NA,NA,NA,0.37112600691319,-0.710695070439572,NA,NA,NA,NA,NA,NA,NA,NA,6,-39.1660767228499,91.0380357986409,2.84701792100435,0.000647268767406541
-3.00497493316803,NA,NA,-1.5791103500185,NA,NA,NA,0.329558281762872,-0.63982751220448,NA,NA,NA,NA,NA,0.150084166088256,NA,NA,6,-39.1671466550887,91.0401756631186,2.84915778548208,0.000646576604035066
-3.09805404350026,NA,NA,-1.82528823053946,NA,NA,NA,0.361319903215503,-0.705386106520079,NA,NA,-0.249498178489456,NA,NA,NA,NA,NA,6,-39.1682188688611,91.0423200906635,2.85130221302694,0.000645883707228419
-2.84382500991675,NA,NA,-1.40492154068135,0.356895032628225,NA,NA,NA,-0.723998158796473,NA,NA,NA,NA,NA,0.0968500035493197,NA,NA,6,-39.1736290324303,91.0531404178018,2.8621225401653,0.000642398806168236
-2.79009752355212,NA,NA,-1.22530533968644,0.51889299571173,NA,NA,NA,NA,NA,NA,NA,NA,-0.185032923402769,NA,NA,-0.822209716277851,6,-39.1744648613405,91.0548120756222,2.86379419798567,0.000641862095004772
-2.84391627202797,NA,NA,-1.40199217204891,0.34799382548027,NA,NA,NA,-0.766780060950943,NA,NA,NA,NA,-0.118102854533714,NA,NA,NA,6,-39.1771978245697,91.0602780020807,2.86926012444414,0.000640110304380921
-2.8429176085785,NA,NA,-1.42345673933265,0.41638594168385,0.0998413497658688,NA,NA,-0.719849031649006,NA,NA,NA,NA,NA,NA,NA,NA,6,-39.1780916980282,91.0620657489976,2.87104787136104,0.000639538382420365
-2.86745895179929,NA,NA,-1.50590773464923,NA,NA,NA,NA,NA,0.2196619951467,NA,NA,NA,NA,NA,NA,NA,5,-40.2818903285256,91.0637806570513,2.87276277941474,0.000638990242694925
-2.98680295394334,NA,NA,-1.60792551561851,NA,NA,NA,0.373620604309934,-0.624739457749766,NA,-0.13392104501667,NA,NA,NA,NA,NA,NA,6,-39.1804403641275,91.0667630811962,2.87574520355963,0.000638038082843421
-2.82517514174229,NA,NA,-1.36021163210565,0.429410388040249,NA,NA,NA,-0.690818998416773,NA,NA,NA,NA,NA,NA,0.0765066225859572,NA,6,-39.1807740158591,91.0674303846594,2.87641250702292,0.000637825235842585
